9base 6-5
qt5-webchannel 5.10.1-1
qt5-webengine 5.10.1-1
qt5-webglplugin 5.10.1-1
qt5-webkit 5.212.0alpha2-14
qt5-websockets 5.10.1-1
qt5-webview 5.10.1-1
qt5-x11extras 5.10.1-1
qt5-xmlpatterns 5.10.1-1
racket 6.12-1
raptor 2.0.15-8
rasqal 1:0.9.33-2
re2 20180401-1
readline 7.0.003-1
recode 3.7-1
redland 1:1.0.17-4
reflector 2018-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rpcbind 0.2.4-4
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rtmpdump 1:2.4.r96.fa8646d-3
rubberband 1.8.1-4
ruby 2.5.1-1
ruby-diff-lcs 1.3-2
ruby-paint 2.0.1-2
ruby-rainbow 3.0.0-2
ruby-rdoc 6.0.1-1
ruby-rspec 3.7.0-2
ruby-rspec-core 3.7.1-1
ruby-rspec-expectations 3.7.0-2
ruby-rspec-mocks 3.7.0-2
ruby-rspec-support 3.7.1-1
ruby-term-ansicolor 1.4.0-3
ruby-tins 1.16.3-1
ruby-trollop 2.1.2-5
rubygems 2.7.6-1
run-parts 4.8.4-1
rust 1:1.25.0-1
rust-docs 1:1.25.0-1
rust-racer 2.0.13-1
s-nail 14.9.10-1
sane 1.0.27-1
sbc 1.3-1
schroedinger 1.0.11-3
screenfetch 3.8.0-2
sdl 1.2.15-9
sdl2 2.0.8-7
sed 4.4-1
semver 5.5.0-1
shadow 4.5-4
shared-mime-info 1.9-1
sip 4.19.8-1
slang 2.3.2-1
smbclient 4.7.6-1
snappy 1.1.7-1
sound-theme-freedesktop 0.8-2
soundfont-fluid 3.1-1
soundtouch 2.0.0-1
sox 14.4.2-3
spandsp 0.0.6-1
speex 1.2.0-1
speexdsp 1.2rc3-2
sqlite 3.22.0-1
srt 1.2.3-1
startup-notification 0.12-5
strace 4.21-1
sudo 1.8.22-1
sysfsutils 2.1.0-9
systemd 238.51-1
systemd-sysvcompat 238.51-1
taglib 1.11.1-1
talloc 2.1.12-1
tar 1.30-1
tcl 8.6.8-2
tdb 1.3.15-1
telepathy-glib 0.24.1-1
terminus-font 4.46-1
tevent 1:0.9.36-1
texinfo 6.5-1
thin-provisioning-tools 0.7.5-1
timidity++ 2.14.0-7
tk 8.6.8-2
tmux 2.6-2
totem-plparser 3.26.0+11+g0091a56-1
traceroute 2.1.0-1
tracker 2.0.3-2
transmission-cli 2.93-1
transmission-qt 2.93-1
tre 0.8.0-4
tree 1.7.0-2
tslib 1.15-1
twolame 0.3.13-8
tzdata 2018d-1
uchardet 0.0.6-1
udftools 2.0-2
udisks2 2.7.6-1
unibilium 2.0.0-1
unixodbc 2.3.6-1
unzip 6.0-12
upower 0.99.7-1
usbmuxd 1.1.0+28+g46bdf3e-1
usbutils 009-1
util-linux 2.32-2
v4l-utils 1.14.2-1
vamp-plugin-sdk 2.7.1-2
vi 1:070224-2
vid.stab 1.1-1
volume_key 0.3.9-5
vulkan-icd-loader 1.1.70.0-3
wavpack 5.1.0-2
wayland 1.14.0-1
wayland-protocols 1.13-1
webkit2gtk 2.20.0-2
webrtc-audio-processing 0.3-2
wget 1.19.4-3
which 2.21-2
wildmidi 0.4.2-1
wireless_tools 30.pre9-1
wireshark-cli 2.5.1-1
wireshark-common 2.5.1-1
wireshark-qt 2.5.1-1
woff2 1.0.2-1
wol 0.7.1-7
wpa_supplicant 1:2.6-11
x265 2.7-1
xbitmaps 1.1.2-1
xcb-proto 1.13-1
xcb-util 0.4.0-1
xcb-util-cursor 0.1.3-1
xcb-util-image 0.4.0-1
xcb-util-keysyms 0.4.0-1
xcb-util-renderutil 0.3.9-1
xcb-util-wm 0.4.1-1
xcb-util-xrm 1.2-2
xclip 0.13-1
xdg-utils 1.1.2-2
xf86-input-libinput 0.27.0-2
xf86-video-intel 1:2.99.917+812+g75795523-1
xf86-video-vesa 2.4.0-1
xfsprogs 4.15.1-1
xkeyboard-config 2.23.1-2
xkeycaps 2.46-7
xmlsec 1.2.25-1
xorg-bdftopcf 1.1-1
xorg-docs 1.7.1-1
xorg-font-util 1.3.1-1
xorg-font-utils 7.6-4
xorg-fonts-100dpi 1.0.3-3
xorg-fonts-75dpi 1.0.3-3
xorg-fonts-alias 1.0.3-1
xorg-fonts-encodings 1.0.4-4
xorg-fonts-type1 7.7-2
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-2
xorg-mkfontdir 1.0.7-8
xorg-mkfontscale 1.1.3-1
xorg-server 1.19.6+13+gd0d1a694f-1
xorg-server-common 1.19.6+13+gd0d1a694f-1
xorg-server-devel 1.19.6+13+gd0d1a694f-1
xorg-server-xdmx 1.19.6+13+gd0d1a694f-1
xorg-server-xephyr 1.19.6+13+gd0d1a694f-1
xorg-server-xnest 1.19.6+13+gd0d1a694f-1
xorg-server-xvfb 1.19.6+13+gd0d1a694f-1
xorg-server-xwayland 1.19.6+13+gd0d1a694f-1
xorg-sessreg 1.1.1-1
xorg-setxkbmap 1.3.1-1
xorg-smproxy 1.0.6-1
xorg-util-macros 1.19.2-1
xorg-x11perf 1.6.0-1
xorg-xauth 1.0.10-1
xorg-xbacklight 1.2.2-1
xorg-xcmsdb 1.0.5-1
xorg-xcursorgen 1.0.6-1
xorg-xdpyinfo 1.3.2-1
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.2-1
xorg-xgamma 1.0.6-1
xorg-xhost 1.0.7-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-1
xorg-xkbcomp 1.4.1-1
xorg-xkbevd 1.1.4-1
xorg-xkbutils 1.0.4-2
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.2-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.9-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.3-1
xorg-xrandr 1.5.0-1
xorg-xrdb 1.1.1-1
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.3-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.4-1
xorg-xwud 1.0.5-1
xorgproto 2018.4-1
xsane 0.999-1
xsel 1.2.0.20160929-1
xterm 331-1
xvidcore 1.3.5-1
xz 5.2.3-1
yajl 2.1.0-1
yaourt 1.9-1
youtube-dl 2018.04.03-1
zarith 1.7-1
zeromq 4.2.2-2
zita-alsa-pcmi 0.2.0-3
zita-resampler 1.6.0-2
zlib 1:1.2.11-2
zsh 5.4.2-2
zstd 1.3.3-1
zvbi 0.2.35-1
